date,rank,song,artist,last_week,peak_position,weeks_on_chart
2025-11-29,27,Underneath The Tree,Kelly Clarkson,41,9,34
2025-11-29,28,Elizabeth Taylor,Taylor Swift,17,3,7
2025-11-29,29,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",50,9,51
2025-11-29,30,It's The Most Wonderful Time Of The Year,Andy Williams,47,5,47
2025-11-29,31,Gabriela,KATSEYE,31,31,18
2025-11-29,32,It's Beginning To Look A Lot Like Christmas,Michael Buble,48,12,26
2025-11-29,33,Don't Mind If I Do,Riley Green Featuring Ella Langley,34,33,16
2025-11-29,34,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,,7,37
2025-11-29,35,Fear,NF,,35,1
2025-11-29,36,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",27,8,21
2025-11-29,37,Sleigh Ride,The Ronettes,,8,34
2025-11-29,38,6 Months Later,Megan Moroney,37,30,22
2025-11-29,39,Somewhere Over Laredo,Lainey Wilson,39,39,20
2025-11-29,40,A Holly Jolly Christmas,Burl Ives,,4,46
2025-11-29,41,No Broke Boys,Disco Lines & Tinashe,36,36,19
2025-11-29,42,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",32,15,21
2025-11-29,43,Happen To Me,Russell Dickerson,35,28,31
2025-11-29,44,Wi$h Li$t,Taylor Swift,26,6,7
2025-11-29,45,wgft,Gunna Featuring Burna Boy,40,40,15
2025-11-29,46,Father Figure,Taylor Swift,28,4,7
2025-11-29,47,Where Is My Husband!,RAYE,58,47,8
2025-11-29,48,Christmas (Baby Please Come Home),Darlene Love,,15,27
2025-11-29,49,Feliz Navidad,Jose Feliciano,,6,38
2025-11-29,50,20 Cigarettes,Morgan Wallen,55,20,26
2025-11-29,51,Hell At Night,BigXthaPlug Featuring Ella Langley,46,35,15
2025-11-29,52,Yukon,Justin Bieber,49,17,19
2025-11-29,53,Dracula,Tame Impala,38,30,8
2025-11-29,54,Is It A Crime,Mariah the Scientist & Kali Uchis,45,45,15
2025-11-29,55,A Couple Minutes,Olivia Dean,72,55,4
2025-11-29,56,Nice To Meet You,Myles Smith,54,54,24
2025-11-29,57,House Again,Hudson Westbrook,53,47,31
2025-11-29,58,Robbed You,Summer Walker & Mariah the Scientist,,58,1
2025-11-29,59,Darlin',Chase Matthew,52,52,9
2025-11-29,60,Go Girl,"Summer Walker, Latto & Doja Cat",,60,1
2025-11-29,61,Shot Callin,YoungBoy Never Broke Again,51,43,10
2025-11-29,62,Who I Was,NF & MGK,,62,1
2025-11-29,63,Better Me For You (Brown Eyes),Max McNown,62,50,23
2025-11-29,64,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,33,8,7
2025-11-29,65,Back In The Saddle,Luke Combs,59,22,17
2025-11-29,66,ErrTime,Cardi B,88,43,8
2025-11-29,67,Jealous Type,Doja Cat,56,28,13
2025-11-29,68,Baby,Summer Walker & Chris Brown,,68,1
2025-11-29,69,No,Summer Walker,,69,1
2025-11-29,70,Sorry,NF With James Arthur,,70,1
2025-11-29,71,Last One To Know,Gavin Adcock,65,54,14
2025-11-29,72,12 To 12,sombr,66,41,14
2025-11-29,73,Sugar On My Tongue,"Tyler, the Creator",69,41,18
2025-11-29,74,Take Me Thru Dere,"Metro Boomin, Quavo, Breskii & YKNIECE",73,69,8
2025-11-29,75,The Fall,Cody Johnson,68,68,8
2025-11-29,76,Ruin The Friendship,Taylor Swift,42,11,7
2025-11-29,77,Wood,Taylor Swift,60,5,7
2025-11-29,78,Actually Romantic,Taylor Swift,61,7,7
2025-11-29,79,FMT,Summer Walker,,79,1
2025-11-29,80,1-800 Heartbreak,Summer Walker & Anderson .Paak,,80,1
2025-11-29,81,Eldest Daughter,Taylor Swift,57,9,7
2025-11-29,82,Nice To Each Other,Olivia Dean,91,82,6
2025-11-29,83,What Kinda Man,Parker McCollum,78,74,10
2025-11-29,84,Went Legit,G Herbo,70,70,18
2025-11-29,85,Give Me A Reason,NF,,85,1
2025-11-29,86,Home,NF,,86,1
2025-11-29,87,Safe,Cardi B Featuring Kehlani,67,26,9
2025-11-29,88,Sparks,Coldplay,76,74,19
2025-11-29,89,Cancelled!,Taylor Swift,64,10,7
2025-11-29,90,The Dead Dance,Lady Gaga,75,40,11
2025-11-29,91,When Did You Get Hot?,Sabrina Carpenter,74,17,12
2025-11-29,92,Sienna,The Marias,86,74,11
2025-11-29,93,Camera,Ed Sheeran,77,58,10
2025-11-29,94,Days Like These,Luke Combs,81,79,4
2025-11-29,95,Amen,Shaboozey & Jelly Roll,84,56,28
2025-11-29,96,Baller,"Summer Walker, Glorilla, Sexyy Red & Monaleo",,96,1
2025-11-29,97,Let Alone The One You Love,Olivia Dean,,97,1
2025-11-29,98,Losin' Streak,Blake Roman,,98,1
2025-11-29,99,Favorite Country Song,HARDY,90,90,4
2025-11-29,100,How Far Does A Goodbye Go,Jason Aldean,80,80,6
