date,rank,album,artist
2025-11-01,111,Breach,Twenty One Pilots
2025-11-01,112,Freudian,Daniel Caesar
2025-11-01,113,T R A P S O U L,Bryson Tiller
2025-11-01,114,Last Lap,Rod Wave
2025-11-01,115,Thank Me Later,Drake
2025-11-01,116,Even In Arcadia,Sleep Token
2025-11-01,117,Starting Over,Chris Stapleton
2025-11-01,118,If I Know Me,Morgan Wallen
2025-11-01,119,What Not To,Tucker Wetmore
2025-11-01,120,Texas Forever,Hudson Westbrook
2025-11-01,121,The Great American Bar Scene,Zach Bryan
2025-11-01,122,1989 (Taylor's Version),Taylor Swift
2025-11-01,123,ANTI,Rihanna
2025-11-01,124,Greatest Hits,2Pac
2025-11-01,125,Born To Die,Lana Del Rey
2025-11-01,126,35 Biggest Hits,Toby Keith
2025-11-01,127,Never Enough,Daniel Caesar
2025-11-01,128,Sex Hysteria,jessie murph
2025-11-01,129,Teenage Dream,Katy Perry
2025-11-01,130,Goodbye & Good Riddance,Juice WRLD
2025-11-01,131,Greatest Hits,Guns N' Roses
2025-11-01,132,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2025-11-01,133,King Of Hearts,Brandon Lake
2025-11-01,134,2014 Forest Hills Drive,J. Cole
2025-11-01,135,The Best Of Sade,Sade
2025-11-01,136,All Time Greatest Hits,Lynyrd Skynyrd
2025-11-01,137,Gettin' Old,Luke Combs
2025-11-01,138,Beautifully Broken,Jelly Roll
2025-11-01,139,Religiously. The Album.,Bailey Zimmerman
2025-11-01,140,bbno$,bbno$
2025-11-01,141,Don't Tap The Glass,"Tyler, the Creator"
2025-11-01,142,Exodo,Peso Pluma
2025-11-01,143,House Of Balloons,The Weeknd
2025-11-01,144,More Life,Drake
2025-11-01,145,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates
2025-11-01,146,Leather,Cody Johnson
2025-11-01,147,Heroes & Villains,Metro Boomin
2025-11-01,148,Toxicity,System of a Down
2025-11-01,149,Gold: Greatest Hits,ABBA
2025-11-01,150,Utopia,Travis Scott
2025-11-01,151,Mi Vida Mi Muerte,Neton Vega
2025-11-01,152,Pure Heroine,Lorde
2025-11-01,153,Tim Burton's The Nightmare Before Christmas,Soundtrack
2025-11-01,154,Genesis,Peso Pluma
